ID,State,Type,Address,Price,Bedroom,Bathroom,Parking
438349556,QLD,Apartment,"302/279 Esplanade, Cairns North",$660 pw,2 bedrooms,2 bathrooms,1 parking space
438349552,QLD,Townhouse,"11/28 Amazons Place, Jindalee",$850 per week,3 bedrooms,2 bathrooms,2 parking spaces
438349528,QLD,House,"25 Warwick Street, Harristown",$490 Per Week,3 bedrooms,1 bathroom,2 parking spaces
438349488,QLD,House,"158 Evelyn Street, Grange","$1,100 per week",4 bedrooms,3 bathrooms,2 parking spaces
438349484,QLD,House,"33 Mungarie Street, Keperra",$725 PER WEEK,4 bedrooms,2 bathrooms,2 parking spaces
438349480,QLD,House,"100 Hazelton Street, Riverhills",$575 per week,3 bedrooms,1 bathroom,1 parking space
438349476,QLD,House,"9 Northcote  Street, East Ipswich",$490 per week,3 bedrooms,1 bathroom,2 parking spaces
438349452,QLD,Apartment,"602/8 Holden Street, Woolloongabba",$600 per week,1 bedroom,1 bathroom,1 parking space
438349436,QLD,House,"7 Possum Court, Morayfield",$595,4 bedrooms,2 bathrooms,2 parking spaces
438349404,QLD,House,"24 Bunya Road, Everton Hills",$630 per week,3 bedrooms,1 bathroom,2 parking spaces
438349356,QLD,House,"1 Kristie Ct, Capalaba",$745 per week,4 bedrooms,2 bathrooms,
438349352,QLD,House,"7 Koomooloo Circle, Coomera Waters",$1250 PER WEEK,4 bedrooms,2 bathrooms,3 parking spaces
438349348,QLD,Apartment,"37/155-163 Fryar Road, Eagleby",$410 per week,2 bedrooms,1 bathroom,1 parking space
438349308,QLD,House,"1/19 Rolle Street, Holland Park West",$750 per week,3 bedrooms,2 bathrooms,3 parking spaces
438349304,QLD,Unit,"4/19 Primrose Street, South Toowoomba",$460 Per Week,2 bedrooms,2 bathrooms,1 parking space
438349264,QLD,Townhouse,"8/360 Simpsons Road, Bardon",$675 per week,3 bedrooms,2 bathrooms,2 parking spaces
438349244,QLD,House,"25 Hyland Close, Burpengary",$590 Per Week,4 bedrooms,2 bathrooms,2 parking spaces
438349224,QLD,Unit,"101 Baines Street, Kangaroo Point",$300 + $30 (utilities) pw,1 bedroom,study,1 bathroom
438349212,QLD,House,"66/2 Campbell Street, Toowong",$725 per week,2 bedrooms,2 bathrooms,1 parking space
438349192,QLD,House,"25 Walker Street, Bundaberg South",$500.00 Per Week,3 bedrooms,1 bathroom,
438349168,QLD,Flat,"1/54 Crest Street, Mount Gravatt East",$440 per week,2 bedrooms,1 bathroom,1 parking space
438349164,QLD,House,"28/10 Stanton Road West, Tingalpa",$550 per week,3 bedrooms,2 bathrooms,1 parking space
438349144,QLD,House,"Address available on request, Springfield",$900.00 per week,4 bedrooms,2 bathrooms,2 parking spaces
438349128,QLD,House,"14 Fenwick Crs, Algester",$700 per week,4 bedrooms,2 bathrooms,2 parking spaces
438349124,QLD,House,"5 Zoe Court, Centenary Heights",$495.00 per week,3 bedrooms,1 bathroom,1 parking space
