Nama,Provinsi,Lokasi,Jam
Gramedia Samarinda Lembuswana,KALIMANTAN TIMUR,"Jl. M. Yamin, Gn. Kelua, Kec. Samarinda Ulu, Kota Samarinda, Kalimantan Timur 75243","Senin – Minggu, pukul 10:00 – 21:00"
Gramedia Balikpapan,KALIMANTAN TIMUR,"Jl. Jenderal Sudirman, Balikpapan Trade Center Lt. Dasar, Klandasan Ilir, Balikpapan Kota, Kota Balikpapan, Kalimantan Timur 76113","Senin – Minggu, pukul 11:00 – 21:00"
Gramedia Banjarmasin Veteran,KALIMANTAN SELATAN,"Jl. Veteran No.45, Melayu, Kec. Banjarmasin Tengah, Kota Banjarmasin, Kalimantan Selatan 70122",Senin – Minggu 09:30 – 21:00
Gramedia Manado Sam Ratulangi,SULAWESI UTARA,"Jalan Sam Ratulangi No. 45, Ranotana, Sario, Wenang Sel., Kec. Wenang, Kota Manado, Sulawesi Utara 95113","Senin – Minggu, pukul 09:00 – 21:00"
Gramedia Gorontalo Mal,GORONTALO,"Jl. HOS. Cokroaminoto No.1, Heledulaa Sel., Kota Tim., Kota Gorontalo, Gorontalo 96134","Senin – Minggu, pukul 09:30 – 21:00"
Gramedia Compact Palu,SULAWESI TENGAH,"Jl. Moh. Hatta, Lolu Utara, Kec. Palu Tim., Kota Palu, Sulawesi Tengah 94112","Senin – Minggu, pukul 09:00 – 21:00"
Gramedia Kendari Lippo Plaza,SULAWESI TENGGARA ,"Jl. M.T. Haryono No.61-63, Bende, Kadia, Kendari City, South East Sulawesi 93117","Senin – Minggu, pukul 10:00 – 21:00"
Gramedia Maluku City Mall,MALUKU,"Jl Jenderal Sudirman No. 1 Tantui Ambon UP Floor Blok UG No. 2, Sirimau, Kota Ambon, Maluku 97128","Senin – Minggu, pukul 09:00 – 21:00"
Gramedia Bali Mal Galeria,BALI,"Mal Galeria Blok D Lt. 2 Jalan By Pass I Ngurah Rai Simpang Dewa Ruci, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361","Senin – Minggu, pukul 11:00 – 21:00"
Gramedia Bali Gatsu,BALI,"Jl. Gatot Subroto Tengah No.332, Dauh Puri Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80233","Senin – Minggu, pukul 09:00 – 22:00"
Gramedia Mataram Pejanggik,NUSA TENGGARA BARAT,"Jl. Pejanggik, Pejanggik, Kec. Mataram, Kota Mataram, Nusa Tenggara Bar. 83122","Senin – Minggu, pukul 09.00 – 21.00"
