Nama,Lokasi,Kontak,Parkir,Kategori,URL Tenant
YAKINIKU LIKE,LG-111,Visit Tenant Official Website,LG near LOBBY LADIES PARKING,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=6027702201
Yao Yao,G-111,,3 near Lift A,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=6a676bfbb6
YOSHINOYA,1F-FOOD AV,Visit Tenant Official Website,3 near LOBBY LIFT B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=b21be6e210
YUAN MARKET,1F-26,,3 near Lobby Lift B,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=88d2d6b731
Yuire,1F-60,085280127108,3 near LIFT A,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=ec4efb86e3
YVES ROCHER,LG-63,02129111073,BASEMENT near LOBBY SAMSAT,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=e6e596ee72
ZARA,G-06,02129111203,BASEMENT near LOBBY LIFT C,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=2a42d5a666
ZENBU,LG-155A,02180600223,LG near LOBBY TAKESHITA,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=22626ae61e
ZOJIRUSHI,2F-37,Visit Tenant Official Website,3 near LOBBY LIFT B,Home Related,https://lippomallpuri.com/tenantDetail?tenant=e6ed6dd2e6
Zuma,UG-K-09C,,3 near Lobby Lift B,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=29e36e26b3
