Nama,Lokasi,Kontak,Parkir,Kategori,URL Tenant
SHIHLIN,LG-73A,02129111059,LG near LOBBY LADIES PARKING,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=261216e12f
SIMPLY,LG-K01,02129111206,LG near LOBBY LADIES PARKING,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=ef1f6128ef
SKECHERS,UG-29,02122582794,3 near LOBBY LIFT B,Sport & Lifestyle,https://lippomallpuri.com/tenantDetail?tenant=81bbbb9ef6
Skin+| Slim+,LG-3,,B near Lobby Lift B,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=695f3f9253
Skincara,1F-89,,3 near Lift B,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=d0d2e662cd
Smiggle,UG-K-08A,,3 near Lobby Lift B,"Books Gifts, Hobbies",https://lippomallpuri.com/tenantDetail?tenant=64e0333003
SOCIOLLA,UG-K01,Visit Tenant Official Website,3 near LOBBY LIFT C,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=d0e25ddced
SOGO,G-15,02122582800,BASEMENT near LOBBY LIFT C,Dept. Store,https://lippomallpuri.com/tenantDetail?tenant=e16a68e8a8
SOLARIA,LG-81B,02129111096,LG near LOBBY LIFT B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=66986191e2
SONY CENTER,1F-19,0211500323,2 / P3 near LOBBY LIFT C,"Electronics, Gadgets, HP",https://lippomallpuri.com/tenantDetail?tenant=0772d00660
SOTO KUDUS SENAYAN,LG-FOOD HA,Visit Tenant Official Website,BASEMENT near LOBBY ROCKSTAR GYM,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=262e6fbe6e
SOUR SALLY,LG-K02T,Visit Tenant Official Website,LG near LOBBY TAKESHITA,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=72d671db71
SPORTS STATION,1F-35,02122582719,3 near LOBBY LIFT B,Sport & Lifestyle,https://lippomallpuri.com/tenantDetail?tenant=be11bee0e4
STACCATO,UG-38,02129111220,3 near LOBBY LIFT A,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=9d4d9900ee
STARBUCKS,G-26,02129111250,BASEMENT near LOBBY LIFT B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=f111d2a726
STARBUCKS,G-01,02129111250,BASEMENT near LOBBY LIFT B,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=6e255e12a5
STEAK 21,1F-95,Visit Tenant Official Website,2 / P3 near LOBBY LIFT C,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=a6f21aee2e
STEVE MADDEN,UG-91,Visit Tenant Official Website,BASEMENT near LOBBY LIFT C,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=aa0e1ee9b2
STOP 'N' GO,LG-76A,02129111086,LG near LOBBY LADIES PARKING,Services,https://lippomallpuri.com/tenantDetail?tenant=f220662b00
STRADIVARIUS,UG-85,02122582864,3 near LOBBY LIFT C,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=9290e28b11
STRIP & BROWHAUS,LG-22D,02122582731,LG near LOBBY PAXI / FOOD GARDEN,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=7e1b200ebe
STROBERI,1F-31,02122582848,3 near LOBBY LIFT B,Fashion & Accesories,https://lippomallpuri.com/tenantDetail?tenant=002eef020b
STUDIO T - HAIR & BEAUTY,2F-12,,3 near LOBBY LIFT B,Health & Beauty Care,https://lippomallpuri.com/tenantDetail?tenant=93d4022e43
STULOKAL,2F-77,,3 near Lobby Lift C,Entertainment,https://lippomallpuri.com/tenantDetail?tenant=86272356fa
SUAN THAI,LG-16,02129111379,LG near LOBBY PAXI / FOOD GARDEN,Food & Beverages,https://lippomallpuri.com/tenantDetail?tenant=eae66ed6a2
